x,y
-29.6592,22.6419
-22.8503,26.0826
-22.0352,26.6476
-24.4509,26.121
-24.2692,28.8549
-22.3989,27.552
-22.9446,29.513
-22.1637,35.4623
-19.5635,36.2628
-22.4164,36.6984
-21.1188,38.3616
-21.9984,35.3967
-21.5538,35.8508
-21.4409,36.3474
-21.1038,36.0122
-19.2265,41.4159
-21.2751,38.995
-25.0374,34.5557
-27.8187,34.7359
-22.0789,36.2549
-21.9285,36.5849
-21.4264,36.4378
-19.7121,35.7586
-19.6139,35.7225
-17.6985,39.6793
-18.8851,40.7392
-19.2982,43.1017
-19.9567,45.3268
-17.5549,43.6312
-20.1804,44.2594
-18.7396,42.9947
-18.3192,42.7982
-15.1876,41.4473
-13.5062,35.5365
-12.2725,31.5263
-11.3128,30.7234
-11.6778,26.2804
-8.01912,22.22
-5.38179,22.3583
-1.79436,25.0377
-3.81363,27.0146
-2.68911,27.3131
-4.01098,25.2588
-4.00388,22.7859
-5.72509,27.0345
-5.92817,27.3273
-5.13835,26.1679
-5.35355,25.3276
-3.84792,27.6714
-5.11713,26.1092
-5.04527,32.4071
-0.433844,30.5598
5.58235,33.2587
6.50712,32.4372
8.41824,36.437
4.91847,35.8135
5.72578,36.7619
3.3031,36.1557
5.73799,36.8815
3.6916,36.1601
5.78206,29.2052
11.5096,30.0741
10.8932,29.9315
11.8497,29.5848
8.02826,29.2158
4.6435,28.696
5.01312,28.574
6.99065,23.9395
6.87524,23.9109
5.78384,25.2636
6.49997,25.467
5.98484,23.354
3.24003,22.2616
2.44957,21.273
2.34421,21.7245
3.25038,20.5005
2.71688,14.1331
-3.58637,9.04218
-2.40455,7.20232
-3.21149,0.583223
-5.0891,0.76789
-5.70598,0.307637
-5.35611,3.40899
-4.10185,7.25497
-8.43782,4.01279
-12.1001,5.68645
-11.4046,8.30386
-12.0116,7.82224
-11.6337,8.47901
-11.5202,9.07181
-13.4923,7.19332
-14.7279,2.24861
-14.9427,2.83737
-17.0182,4.15264
-17.2018,0.30735
-10.122,3.82298
-2.27059,1.51799
-3.81752,2.3745
-3.13571,2.59568
-4.71177,3.97372
-4.10373,3.23111
-4.96114,1.48702
-0.444367,2.46149
-2.18816,-5.86848
-2.75691,-6.00221
-3.86684,-6.51718
-5.42656,-7.51009
-5.43986,-7.37762
-5.42009,-7.70512
-5.97888,-8.56183
-5.25519,-8.59726
-5.82492,-9.96968
-6.69612,-9.20684
-7.81853,-10.2579
-8.42054,-7.23815
-9.4399,-9.22322
-6.73379,-10.6039
-5.11458,-11.7976
-3.33011,-10.8673
-1.79084,-11.42
-2.24524,-13.9054
-1.60207,-13.674
3.77426,-15.2481
3.7703,-15.2067
0.578523,-11.1593
1.68559,-10.7898
1.5917,-10.7639
5.52507,-8.97538
4.21432,-8.70957
3.35106,-3.72282
1.73162,0.627015
-4.08394,-1.10549
-8.80494,3.60301
-10.7155,3.54196
-13.4507,5.69198
-13.0922,5.35195
-11.4722,4.20659
-8.59166,6.33561
-10.4419,7.72384
-7.41002,9.37639
-9.57662,5.29939
-9.54166,6.29044
-12.0228,6.56275
-16.4376,8.67763
-15.2239,11.1619
-14.9461,11.4169
-14.7985,10.9674
-15.1843,9.31313
-12.9017,8.88078
-14.3997,8.61296
-15.1461,8.41131
-15.4651,8.02159
-18.714,10.9142
-14.7093,13.1709
-14.2156,14.0854
-13.1997,19.1574
-12.2403,18.8732
-4.55221,21.773
-2.70407,21.5989
-1.66836,24.4327
-2.94345,22.2424
0.0641019,24.7247
3.82195,25.8911
6.05993,21.0197
10.9444,20.2058
9.99564,19.7536
7.75074,14.8884
7.87574,14.377
6.83414,15.628
8.45326,17.345
9.50509,17.5802
6.10647,20.6181
8.60392,22.8924
8.3271,22.6774
7.32251,22.3352
10.3119,18.1553
14.4904,21.1032
14.677,17.0855
14.5418,16.9196
8.01117,18.1888
6.783,18.5544
5.7066,18.626
6.57908,20.9578
10.4005,23.212
8.20114,23.5431
7.32683,23.4872
11.8593,22.6153
13.4801,22.7395
17.0576,21.3958
14.0991,24.0497
15.6886,23.6534
15.526,26.5912
12.9184,24.1214
12.3008,21.0473
10.1883,24.4252
4.74154,22.011
11.2288,26.681
11.5827,25.3296
12.0864,24.2438
10.9616,22.9131
5.59786,29.8452
5.44349,29.7129
5.30007,28.7038
5.48391,28.7865
1.65142,22.5673
4.44719,18.5348
5.19329,22.0938
4.56497,22.6235
3.04205,28.4655
5.68996,28.8714
5.18434,28.3787
5.74218,27.5803
6.76117,29.0573
2.33068,27.7293
1.82534,28.3898
0.535219,28.8668
4.91934,28.3878
4.74398,32.2479
-1.1411,35.877
-1.99947,35.4242
2.64334,32.9254
2.15074,32.9528
2.92495,33.8479
4.22139,31.2317
6.19173,33.4146
7.04892,33.1827
7.55875,34.8417
6.74599,40.5542
8.07613,42.0167
7.81488,41.9429
8.79415,43.6946
11.0236,46.4538
13.2308,48.1482
14.9117,47.3848
14.859,43.8463
11.6869,43.9442
17.8437,41.9191
16.4211,48.7643
16.904,47.8611
14.9353,43.5831
12.2097,41.9909
17.5104,38.6337
17.465,38.3988
22.3756,35.0478
21.9478,35.5583
24.8132,33.5059
27.45,36.7913
25.5082,40.1459
27.1143,43.5384
35.1876,40.3297
34.5919,40.2259
38.7785,41.3655
37.8861,49.2156
40.1046,48.4085
38.6112,52.2361
39.6642,53.0088
39.0256,51.864
40.7078,53.0387
36.6066,56.4196
29.1874,57.0825
27.4704,56.7911
20.2436,54.5025
19.5376,54.4099
18.797,56.5891
18.7959,56.5929
18.7678,56.4413
16.6737,59.1221
22.093,66.1581
19.2214,67.0979
22.9568,66.5326
23.343,67.1195
24.0471,64.6337
22.4655,66.1839
25.2845,70.0418
26.4752,69.7122
26.4676,69.238
25.089,72.3955
22.7513,71.87
23.7674,77.1836
22.5437,78.5888
17.3754,79.9954
19.8884,80.4874
9.63495,80.2923
6.11934,80.1351
3.1282,84.4347
-1.10677,89.8225
-1.42281,90.4973
-3.09776,91.1263
-3.15984,91.6427
-2.96263,95.0613
-6.10657,92.5502
-5.0145,93.0434
-6.62611,99.2217
-4.74568,97.9015
-5.90928,96.0347
-3.08016,96.6902
-0.824475,98.1911
-3.31313,94.2114
-4.16873,90.9073
1.02074,91.9723
-0.830726,92.725
-3.94576,91.1222
-8.41238,93.2629
-10.3525,90.5831
-10.5109,90.4114
-8.85266,91.4472
-10.9311,85.4071
-10.1914,85.9084
-11.342,84.204
-9.86573,85.4447
-11.3111,81.6411
-8.33052,80.9515
-8.40131,78.6991
-9.7358,78.1373
-12.1189,79.8213
-10.4547,78.2791
-5.81939,81.7618
-6.91285,80.5844
-10.9233,84.035
-10.8419,84.1095
-9.70081,83.2367
-8.86638,77.0142
-8.91545,76.3893
-8.7562,76.0669
-7.90574,70.7332
-10.2046,71.8806
-10.3572,70.7744
-9.42377,70.4599
-9.59434,68.4808
-11.7385,69.196
-11.2713,68.9808
-10.6064,69.0336
-13.1821,70.5921
-9.73672,75.2603
-8.9751,73.9324
-9.46287,73.4922
-6.01027,75.3987
-4.24375,78.9405
-4.3014,79.2364
-4.26205,79.1531
-9.3412,79.7789
-10.2305,80.0931
-9.52171,88.4453
-9.31484,89.6267
-8.25933,84.8927
-8.22127,84.9384
-8.96673,86.071
-6.57426,85.4057
-2.62799,86.317
-1.56838,86.7817
4.11772,85.7506
1.05036,90.0931
6.83136,93.45
9.6249,98.6352
9.18005,94.6709
10.3048,93.3867
10.6077,93.5041
12.6917,90.9867
13.2835,91.5867
15.4191,93.1533
15.5863,93.021
16.5594,92.4774
16.0673,92.0784
22.1376,79.7465
21.8594,77.8934
21.5644,75.8177
22.7742,73.7813
15.5183,75.3274
13.9573,76.2119
13.9272,75.7147
14.012,73.7632
14.4428,74.1649
14.3209,75.0117
13.8177,75.541
14.9199,75.9165
15.0606,76.069
16.2077,76.4318
15.635,77.916
14.6695,75.9334
18.4396,72.6096
18.4549,72.7038
19.4627,73.9808
22.1003,72.8246
22.0835,70.0282
27.0516,68.7146
26.4949,68.7705
26.1235,68.3978
25.4763,68.9181
27.5943,71.4429
20.472,74.7607
22.9131,75.3745
23.6588,74.6432
21.5825,78.3269
21.3551,83.2417
19.3094,84.4137
19.3433,84.3646
16.5995,91.459
12.5957,91.72
12.0031,85.3622
12.5798,86.6887
12.603,86.6377
12.0958,86.9378
12.7213,87.1113
15.3304,90.4218
24.433,87.1221
25.8513,84.3059
25.5358,84.9398
25.0784,84.7898
27.503,85.8945
28.9576,85.9946
29.7249,85.4144
31.3367,86.8875
27.932,89.7999
32.9684,89.2387
34.1357,86.5218
33.6292,85.44
33.2061,90.4153
31.8265,88.2077
32.4057,88.9324
36.3666,90.3189
40.2947,89.9398
41.7944,91.1023
41.0051,87.4437
