i,j,u,v
2.2,-1.9,-1.58891,-1.6991
2.2,-1.8,-1.5219,-1.64289
2.2,-1.7,-1.44988,-1.58322
2.2,-1.6,-1.37208,-1.5196
2.2,-1.5,-1.28762,-1.45145
2.2,-1.4,-1.1954,-1.37808
2.2,-1.3,-1.09412,-1.29856
2.2,-1.2,-0.982199,-1.21174
2.2,-1.1,-0.857785,-1.11609
2.2,-1,-0.718814,-1.00954
2.2,-0.9,-0.563281,-0.889176
2.2,-0.8,-0.390171,-0.750791
2.2,-0.7,-0.202429,-0.587952
2.2,-0.6,-0.0176055,-0.390263
2.2,-0.5,0.0813921,-0.139668
2.2,-0.4,-0.665984,0.198134
2.2,-0.3,nan,0.696113
2.2,-0.2,nan,1.53458
2.2,-0.1,nan,3.29167
2.2,0.1,nan,3.29167
2.2,0.2,nan,1.53458
2.2,0.3,nan,0.696113
2.2,0.4,-0.665984,0.198134
2.2,0.5,0.0813921,-0.139668
2.2,0.6,-0.0176055,-0.390263
2.2,0.7,-0.202429,-0.587952
2.2,0.8,-0.390171,-0.750791
2.2,0.9,-0.563281,-0.889176
2.2,1,-0.718814,-1.00954
2.2,1.1,-0.857785,-1.11609
2.2,1.2,-0.982199,-1.21174
2.2,1.3,-1.09412,-1.29856
2.2,1.4,-1.1954,-1.37808
2.2,1.5,-1.28762,-1.45145
2.2,1.6,-1.37208,-1.5196
2.2,1.7,-1.44988,-1.58322
2.2,1.8,-1.5219,-1.64289
2.2,1.9,-1.58891,-1.6991
2.2,2,-1.65152,-1.75222
2.2,2.1,-1.71025,-1.80258
2.2,2.2,-1.76553,-1.85047
2.2,2.3,-1.81776,-1.89611
2.2,2.4,-1.86723,-1.93972
2.3,-2.5,-1.9622,-2.02685
2.3,-2.4,-1.91545,-1.98518
2.3,-2.3,-1.86626,-1.94166
2.3,-2.2,-1.81434,-1.89611
2.3,-2.1,-1.75938,-1.84834
2.3,-2,-1.70102,-1.79811
2.3,-1.9,-1.63882,-1.74514
2.3,-1.8,-1.57227,-1.68912
2.3,-1.7,-1.50073,-1.62965
2.3,-1.6,-1.42346,-1.56628
2.3,-1.5,-1.33957,-1.49844
2.3,-1.4,-1.24795,-1.42542
2.3,-1.3,-1.14727,-1.34635
2.3,-1.2,-1.0359,-1.26008
2.3,-1.1,-0.911905,-1.16514
2.3,-1,-0.773034,-1.05948
2.3,-0.9,-0.61693,-0.940316
2.3,-0.8,-0.441831,-0.803542
2.3,-0.7,-0.248943,-0.642942
2.3,-0.6,-0.0509591,-0.448469
2.3,-0.5,0.089053,-0.202663
2.3,-0.4,-0.308897,0.127751
2.3,-0.3,nan,0.614088
2.3,-0.2,nan,1.43481
2.3,-0.1,nan,3.17003
2.3,0.1,nan,3.17003
2.3,0.2,nan,1.43481
2.3,0.3,nan,0.614088
2.3,0.4,-0.308897,0.127751
2.3,0.5,0.089053,-0.202663
2.3,0.6,-0.0509591,-0.448469
2.3,0.7,-0.248943,-0.642942
2.3,0.8,-0.441831,-0.803542
2.3,0.9,-0.61693,-0.940316
2.3,1,-0.773034,-1.05948
2.3,1.1,-0.911905,-1.16514
2.3,1.2,-1.0359,-1.26008
2.3,1.3,-1.14727,-1.34635
2.3,1.4,-1.24795,-1.42542
2.3,1.5,-1.33957,-1.49844
2.3,1.6,-1.42346,-1.56628
2.3,1.7,-1.50073,-1.62965
2.3,1.8,-1.57227,-1.68912
2.3,1.9,-1.63882,-1.74514
2.3,2,-1.70102,-1.79811
2.3,2.1,-1.75938,-1.84834
2.3,2.2,-1.81434,-1.89611
2.3,2.3,-1.86626,-1.94166
2.3,2.4,-1.91545,-1.98518
2.4,-2.5,-2.00798,-2.07022
2.4,-2.4,-1.96147,-2.02862
2.4,-2.3,-1.91253,-1.98518
2.4,-2.2,-1.86089,-1.93972
2.4,-2.1,-1.80625,-1.89205
2.4,-2,-1.74824,-1.84193
2.4,-1.9,-1.68642,-1.7891
2.4,-1.8,-1.62029,-1.73323
2.4,-1.7,-1.54921,-1.67395
2.4,-1.6,-1.47246,-1.6108
2.4,-1.5,-1.38912,-1.54322
2.4,-1.4,-1.29809,-1.47052
2.4,-1.3,-1.19801,-1.39185
2.4,-1.2,-1.08723,-1.30607
2.4,-1.1,-0.963725,-1.21174
2.4,-1,-0.825109,-1.10689
2.4,-0.9,-0.66873,-0.988782
2.4,-0.8,-0.492212,-0.853442
2.4,-0.7,-0.295354,-0.694843
2.4,-0.6,-0.0870141,-0.503258
2.4,-0.5,0.0843071,-0.261786
2.4,-0.4,-0.115696,0.0618664
2.4,-0.3,nan,0.537348
2.4,-0.2,nan,1.34105
2.4,-0.1,nan,3.05445
2.4,0.1,nan,3.05445
2.4,0.2,nan,1.34105
2.4,0.3,nan,0.537348
2.4,0.4,-0.115696,0.0618664
2.4,0.5,0.0843071,-0.261786
2.4,0.6,-0.0870141,-0.503258
2.4,0.7,-0.295354,-0.694843
2.4,0.8,-0.492212,-0.853442
2.4,0.9,-0.66873,-0.988782
2.4,1,-0.825109,-1.10689
2.4,1.1,-0.963725,-1.21174
2.4,1.2,-1.08723,-1.30607
2.4,1.3,-1.19801,-1.39185
2.4,1.4,-1.29809,-1.47052
2.4,1.5,-1.38912,-1.54322
2.4,1.6,-1.47246,-1.6108
2.4,1.7,-1.54921,-1.67395
2.4,1.8,-1.62029,-1.73323
2.4,1.9,-1.68642,-1.7891
2.4,2,-1.74824,-1.84193
2.4,2.1,-1.80625,-1.89205
2.4,2.2,-1.86089,-1.93972
2.4,2.3,-1.91253,-1.98518
2.4,2.4,-1.96147,-2.02862
